id,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,scheduled_service,iata_code,local_code
26901,large_airport,Brisbane International Airport,-27.384199142456,153.117004394531,13,AU,Brisbane,yes,BNE,
26902,medium_airport,Gold Coast Airport,-28.1644001007,153.505004883,21,AU,Gold Coast,yes,OOL,
26903,medium_airport,Blackall Airport,-24.4277992249,145.429000854,928,AU,Blackall,yes,BKQ,
26904,medium_airport,Cairns International Airport,-16.885799408,145.755004883,10,AU,Cairns,yes,CNS,
26905,medium_airport,Charleville Airport,-26.4132995605,146.261993408,1003,AU,Charleville,yes,CTL,
26907,medium_airport,Birdsville Airport,-25.8974990844727,139.348007202148,159,AU,,yes,BVI,
26908,medium_airport,Broken Hill Airport,-32.0013999939,141.472000122,958,AU,Broken Hill,yes,BHQ,
26909,medium_airport,Hamilton Island Airport,-20.3581008911,148.95199585,15,AU,Hamilton Island,yes,HTI,
26910,medium_airport,Bedourie Airport,-24.3460998535156,139.460006713867,300,AU,,yes,BEU,
26912,medium_airport,Bourke Airport,-30.0391998291016,145.951995849609,352,AU,,yes,BRK,
26914,medium_airport,Benalla Airport,-36.551899,146.007004,569,AU,,no,BLN,
26917,medium_airport,Mount Isa Airport,-20.6639003754,139.488998413,1121,AU,Mount Isa,yes,ISA,
26919,medium_airport,Mackay Airport,-21.1716995239,149.179992676,19,AU,Mackay,yes,MKY,
26920,medium_airport,Ballina Byron Gateway Airport,-28.8339004517,153.56199646,7,AU,Ballina,yes,BNK,
26921,medium_airport,Bairnsdale Airport,-37.8875007629395,147.567993164063,165,AU,,no,BSJ,
26922,medium_airport,Oakey Airport,-27.4113998413086,151.735000610352,1335,AU,,yes,OKY,
26923,medium_airport,Boulia Airport,-22.9132995605469,139.899993896484,542,AU,,yes,BQL,
336111,medium_airport,Yibin Wuliangye Airport,28.858431,104.526157,,CN,Yibin,yes,YBP,YBP
26924,medium_airport,Proserpine Whitsunday Coast Airport,-20.4950008392,148.552001953,82,AU,Proserpine,yes,PPP,
26925,medium_airport,Rockhampton Airport,-23.3819007874,150.475006104,34,AU,Rockhampton,yes,ROK,
26927,medium_airport,Broome International Airport,-17.9447002410889,122.232002258301,56,AU,Broome,yes,BME,
26928,medium_airport,Balranald Airport,-34.6236000061035,143.578002929688,210,AU,,no,BZD,
26929,medium_airport,Brewarrina Airport,-29.9738998413086,146.817001342773,414,AU,,no,BWQ,
26918,medium_airport,Sunshine Coast Airport,-26.6033,153.091003,15,AU,Maroochydore,yes,MCY,
26932,medium_airport,Bathurst Airport,-33.4094009399,149.651992798,2435,AU,Bathurst,yes,BHS,
26933,medium_airport,Bathurst Island Airport,-11.7692003250122,130.619995117188,67,AU,,no,BRT,
26934,medium_airport,Townsville Airport / RAAF Base Townsville,-19.252904,146.766512,18,AU,Townsville,yes,TSV,
26935,medium_airport,Blackwater Airport,-23.603099822998,148.807006835938,657,AU,,yes,BLT,
26936,medium_airport,Bundaberg Airport,-24.9039001465,152.319000244,107,AU,Bundaberg,yes,BDB,
26939,medium_airport,Weipa Airport,-12.6786003113,141.925003052,63,AU,Weipa,yes,WEI,
315119,medium_airport,Brisbane West Wellcamp Airport,-27.558332,151.793335,1509,AU,Toowoomba,yes,WTB,
26941,medium_airport,Carnarvon Airport,-24.880211,113.67174,13,AU,Carnarvon,yes,CVQ,
26943,medium_airport,Cobar Airport,-31.5382995605469,145.794006347656,724,AU,,yes,CAZ,
26944,medium_airport,Coonabarabran Airport,-31.3325004577637,149.266998291016,2117,AU,,no,COJ,
26946,medium_airport,Coober Pedy Airport,-29.0400009155273,134.720993041992,740,AU,,yes,CPD,
26947,medium_airport,Chinchilla Airport,-26.7749996185303,150.617004394531,1028,AU,,no,CCL,
26948,medium_airport,Cloncurry Airport,-20.6686000824,140.503997803,616,AU,Cloncurry,yes,CNJ,
26950,medium_airport,Ceduna Airport,-32.1305999755859,133.710006713867,77,AU,,yes,CED,
26951,medium_airport,Cleve Airport,-33.7097015380859,136.505004882813,589,AU,,no,CVC,
27132,medium_airport,Coffs Harbour Airport,-30.320601,153.115997,18,AU,Coffs Harbour,yes,CFS,
26954,medium_airport,RAAF Base Curtin,-17.5813999176,123.82800293,300,AU,,no,DCN,
26955,medium_airport,Cooktown Airport,-15.4447002410889,145.184005737305,26,AU,,yes,CTN,
26956,medium_airport,Clermont Airport,-22.773099899292,147.621002197266,908,AU,,no,CMQ,
26957,medium_airport,Cunnamulla Airport,-28.0300006866455,145.621994018555,630,AU,,yes,CMA,
26959,medium_airport,Coonamble Airport,-30.9832992553711,148.376007080078,604,AU,,yes,CNB,
26961,medium_airport,Coen Airport,-13.761133,143.113311,532,AU,Coen,yes,CUQ,
26962,medium_airport,Cooma Snowy Mountains Airport,-36.3005981445,148.973999023,3088,AU,Cooma,yes,OOM,
26963,medium_airport,Corowa Airport,-35.994701385498,146.356994628906,469,AU,,no,CWW,
26964,medium_airport,Corryong Airport,-36.1828002929687,147.888000488281,963,AU,,no,CYG,
26965,medium_airport,Cootamundra Airport,-34.6239013671875,148.02799987793,1110,AU,,no,CMD,
26968,medium_airport,Cowra Airport,-33.8446998596191,148.649002075195,966,AU,,no,CWT,
26970,medium_airport,Dirranbandi Airport,-28.5916996002197,148.216995239258,567,AU,,no,DRN,
26971,medium_airport,Derby Airport,-17.3700008392334,123.661003112793,24,AU,,no,DRB,
26972,medium_airport,Deniliquin Airport,-35.5593986511,144.945999146,316,AU,Deniliquin,no,DNQ,
26975,medium_airport,Devonport Airport,-41.1697006226,146.429992676,33,AU,Devonport,yes,DPO,
26976,medium_airport,Dysart Airport,-22.622200012207,148.363998413086,670,AU,,no,DYA,
26979,medium_airport,Echuca Airport,-36.1571998596191,144.761993408203,323,AU,,no,ECH,
26980,medium_airport,Elcho Island Airport,-12.0193996429,135.570999146,101,AU,Elcho Island,yes,ELC,
26981,medium_airport,Emerald Airport,-23.5674991608,148.179000854,624,AU,Emerald,yes,EMD,
26982,medium_airport,Esperance Airport,-33.684399,121.822998,470,AU,Esperance,yes,EPR,
342792,medium_airport,Eliwana,-22.428395,116.887879,1576,AU,,no,WHB,
26984,medium_airport,Forbes Airport,-33.363602,147.934998,760,AU,Forbes,no,FRB,
26985,medium_airport,Forrest Airport,-30.8381004333496,128.115005493164,511,AU,,no,FOS,
26986,medium_airport,Fitzroy Crossing Airport,-18.1819000244141,125.55899810791,368,AU,,no,FIZ,
26989,medium_airport,Gunnedah Airport,-30.9610996246338,150.251007080078,863,AU,,no,GUH,
26991,medium_airport,Geraldton Airport,-28.796101,114.707001,121,AU,Geraldton,yes,GET,
26992,medium_airport,Grafton Airport,-29.7593994140625,153.029998779297,110,AU,,no,GFN,
26994,medium_airport,Gladstone Airport,-23.869699,151.223007,64,AU,Gladstone,yes,GLT,4680
26995,medium_airport,Goulburn Airport,-34.8102989196777,149.725997924805,2141,AU,,no,GUL,
26996,medium_airport,Glen Innes Airport,-29.6749992370605,151.688995361328,3433,AU,,no,GLI,
26997,medium_airport,Garden Point Airport,-11.4025001525879,130.421997070313,90,AU,,no,GPN,
26998,medium_airport,Groote Eylandt Airport,-13.9750003815,136.460006714,53,AU,Groote Eylandt,yes,GTE,
26999,medium_airport,Griffith Airport,-34.2508010864,146.067001343,439,AU,Griffith,yes,GFF,
27002,medium_airport,Hay Airport,-34.5313987731934,144.830001831055,305,AU,,no,HXX,
27003,medium_airport,Hervey Bay Airport,-25.3188991547,152.880004883,60,AU,Hervey Bay,yes,HVB,
27004,medium_airport,Horn Island Airport,-10.586400032,142.289993286,43,AU,Horn Island,yes,HID,
27005,medium_airport,Halls Creek Airport,-18.2339000701904,127.669998168945,1346,AU,,no,HCQ,
27007,medium_airport,Hamilton Airport,-37.6488990783691,142.065002441406,803,AU,,no,HLT,
27008,medium_airport,Mount Hotham Airport,-37.0475006104,147.333999634,4260,AU,Mount Hotham,yes,MHU,
27010,medium_airport,Hopetoun Airport,-35.7153015136719,142.360000610352,256,AU,,no,HTU,
27011,medium_airport,Horsham Airport,-36.6697006225586,142.173004150391,445,AU,,no,HSM,
27016,medium_airport,Inverell Airport,-29.888299942,151.143997192,2667,AU,Inverell,no,IVR,
27022,medium_airport,Kerang Airport,-35.7513999938965,143.938995361328,254,AU,,no,KRA,
27023,medium_airport,King Island Airport,-39.877498626709,143.878005981445,132,AU,,yes,KNS,
27025,medium_airport,Kempsey Airport,-31.0743999481201,152.770004272461,54,AU,,no,KPS,
27026,medium_airport,Kowanyama Airport,-15.4856004714966,141.751007080078,35,AU,Kowanyama,yes,KWM,
27027,medium_airport,Kingaroy Airport,-26.5807991027832,151.841003417969,1492,AU,,no,KGY,
27028,medium_airport,Kingscote Airport,-35.7139015197754,137.52099609375,24,AU,,yes,KGC,
27030,medium_airport,Leigh Creek Airport,-30.5983009338379,138.425994873047,856,AU,,no,LGH,
27032,medium_airport,Leonora Airport,-28.8780994415283,121.315002441406,1217,AU,Leonora,yes,LNO,
27034,medium_airport,Lockhart River Airport,-12.7869,143.304993,77,AU,Lockhart River,yes,IRG,
27035,medium_airport,Lismore Airport,-28.8302993774,153.259994507,35,AU,Lismore,yes,LSY,
27037,medium_airport,Lightning Ridge Airport,-29.4566993713379,147.983993530273,540,AU,,yes,LHG,
27038,medium_airport,Longreach Airport,-23.4342002869,144.279998779,627,AU,Longreach,yes,LRE,
27039,medium_airport,Leinster Airport,-27.8432998657227,120.703002929688,1631,AU,,yes,LER,
27041,medium_airport,Latrobe Valley Airport,-38.207199,146.470001,180,AU,Morwell,no,TGN,
27043,medium_airport,Avalon Airport,-38.039398,144.468994,35,AU,Melbourne,yes,AVV,
